claim_id,category,description,expected_display,actual_display,status,response_refs,extraction_rule,evidence_paths,note
varma_default_volterra,varma,Default Volterra architecture anchor,0.629,0.629,verified,docs/rebuttal/responses/MSDS/response.tex; docs/rebuttal/responses/kc2J/response.tex; docs/rebuttal/responses/vKFL/response.tex,"Canonical VARMA claim table: architecture/volterra/baseline exact row, rounded to 3 decimals.",storage/results/rebuttal/varma_ablation/architecture/varma_e2_three__N=6000__w=25__d=3__s=100/split=deterministic_random_Ntr=5000_Nte=1000_seed=0/quark_reservoir_channel_cupy_direct_arch_baseline_n5_R3_k2_lam0p1/seed=0/metrics.csv,
varma_no_jl_volterra,varma,No-JL Volterra architecture anchor,0.606,0.606,verified,docs/rebuttal/responses/MSDS/response.tex; docs/rebuttal/responses/kc2J/response.tex,"Canonical VARMA claim table: architecture/volterra/no-JL exact row, rounded to 3 decimals.",storage/results/rebuttal/varma_ablation/architecture/varma_e2_three__N=6000__w=25__d=3__s=100/split=deterministic_random_Ntr=5000_Nte=1000_seed=0/quark_reservoir_channel_cupy_direct_arch_no_jl_identity_pad_n5_R3_k2_lam0p1/seed=0/metrics.csv,
varma_best_n6_volterra,varma,Best retuned n=6 Volterra anchor,0.479,0.479,verified,docs/rebuttal/responses/MSDS/response.tex; docs/rebuttal/responses/kc2J/response.tex; docs/rebuttal/responses/vKFL/response.tex,"Canonical VARMA claim table: architecture/volterra/n6 kernel-readout-retune row, rounded to 3 decimals.",storage/results/rebuttal/varma_ablation/architecture/varma_e2_three__N=6000__w=25__d=3__s=100/split=deterministic_random_Ntr=5000_Nte=1000_seed=0/quark_reservoir_channel_cupy_direct_arch_sweep_n6_R3_k2_lam0p1_kernel_readout_retune/seed=0/metrics.csv,
varma_shot_100,varma,Finite-shot low-shot Volterra endpoint,1.048,1.048,verified,docs/rebuttal/responses/MSDS/response.tex; docs/rebuttal/responses/vKFL/response.tex,"Canonical VARMA claim table: finite_shots/volterra/shots=100 row, rounded to 3 decimals.",storage/results/rebuttal/varma_ablation/finite_shots/varma_e2_three__N=6000__w=25__d=3__s=100/split=deterministic_random_Ntr=5000_Nte=1000_seed=0/quark_reservoir_channel_cupy_direct_truncated64_shots_100_n5_R3_k2_lam0p1/seed=0/metrics.csv,
varma_shot_10000,varma,Finite-shot high-shot Volterra endpoint,0.701,0.701,verified,docs/rebuttal/responses/MSDS/response.tex; docs/rebuttal/responses/vKFL/response.tex,"Canonical VARMA claim table: finite_shots/volterra/shots=10000 row, rounded to 3 decimals.",storage/results/rebuttal/varma_ablation/finite_shots/varma_e2_three__N=6000__w=25__d=3__s=100/split=deterministic_random_Ntr=5000_Nte=1000_seed=0/quark_reservoir_channel_cupy_direct_truncated64_shots_10000_n5_R3_k2_lam0p1/seed=0/metrics.csv,
pilot_lambda,real_world_pilot,Selected global lambda_0,0.5,0.5,verified,docs/rebuttal/responses/MSDS/response.tex; docs/rebuttal/responses/kc2J/response.tex; docs/rebuttal/responses/vKFL/response.tex,Canonical pilot lambda selection over the 6-dataset pilot set.,storage/results/rebuttal/result_audit/canonical_real_world/temporal_budget_lambda_selection.csv,
pilot_shots,real_world_pilot,Selected practical shot count,3000,3000,verified,docs/rebuttal/responses/MSDS/response.tex; docs/rebuttal/responses/kc2J/response.tex; docs/rebuttal/responses/vKFL/response.tex,Canonical pilot shot selection over the 6-dataset pilot set.,storage/results/rebuttal/result_audit/canonical_real_world/temporal_budget_shot_sweep.csv,
pilot_shot_mean_delta,real_world_pilot,3000-shot mean delta to exact,0.012,0.012,verified,docs/rebuttal/responses/vKFL/response.tex,"Canonical pilot shot-selection table at 3000 shots, rounded to 3 decimals.",storage/results/rebuttal/result_audit/canonical_real_world/temporal_budget_shot_sweep.csv,
pilot_shot_max_delta,real_world_pilot,3000-shot max delta to exact,0.064,0.064,verified,docs/rebuttal/responses/vKFL/response.tex,"Canonical pilot shot-selection table at 3000 shots, rounded to 3 decimals.",storage/results/rebuttal/result_audit/canonical_real_world/temporal_budget_shot_sweep.csv,
real_better_count,real_world_final,QuaRK better count on the 10-dataset final benchmark,5/10,5/10,verified,docs/rebuttal/responses/MSDS/response.tex; docs/rebuttal/responses/kc2J/response.tex; docs/rebuttal/responses/vKFL/response.tex,Canonical 10-dataset final table: count rows with QuaRK mean < ESN+Matérn mean.,storage/results/rebuttal/result_audit/canonical_real_world/temporal_budget_final_table.csv,
